English,Japanese
{ $action }...,{ $action }...
{ $action } redone,{ $action } をやり直しました
{ $action } undone,{ $action } を元に戻しました
{ $amount }d,{ $amount }日
{ $amount }d,{ $amount }日後
{ $amount }d,{ $amount }日
{ $amount } days,{ $amount } 日間
{ $amount } days,{ $amount }日
{ $amount }h,{ $amount }時間後
{ $amount }h,{ $amount }時間
{ $amount }h,{ $amount }時間
{ $amount } hours,{ $amount } 時間
{ $amount } hours,{ $amount }時間
{ $amount }m,{ $amount }分
{ $amount }m,{ $amount }分後
{ $amount }m,{ $amount }分
{ $amount } minutes,{ $amount }分
{ $amount } minutes,{ $amount } 分間
{ $amount }mo,{ $amount }か月
{ $amount }mo,{ $amount }か月後
{ $amount }mo,{ $amount }か月
{ $amount } months,{ $amount }か月
{ $amount } months,{ $amount } か月
{ $amount } of { $total } ({ $percent }%),{ $amount }日 / { $total }日 ({ $percent }%)
{ $amount }s,{ $amount }秒
{ $amount }s,{ $amount }秒後
{ $amount }s,{ $amount }秒
{ $amount } seconds,{ $amount }秒
{ $amount } seconds,{ $amount } 秒
{ $amount }y,{ $amount }年
{ $amount }y,{ $amount }年後
{ $amount }y,{ $amount }年
{ $amount } years,{ $amount }年
{ $amount } years,{ $amount } 年
{ $average-seconds }s ({ cards-per-min }),{ $average-seconds } 秒 ({ cards-per-min })
{ $average-seconds }s ({ statistics-cards-per-min }),{ $average-seconds }秒 ({ statistics-cards-per-min })
{ $cards } cards,{ $cards }枚
{ $cards } cards,{ $cards }枚のカード
{ $cards } cards,{ $cards }枚のカード
{ $cards } cards due,{ $cards }枚が期日
{ $cards } cards with { $percent } difficulty,難度が{ $percent }のカード: { $cards }枚
{ $cards } cards with { $percent } ease,易しさが{ $percent }のカード: { $cards }枚
{ $cards } cards with { $percent } retrievability,正答可能性が{ $percent }のカード: { $cards }枚
{ $cards } cards with a { $day } day interval,復習間隔が{ $day }日のカード: { $cards }枚
{ $cards } cards with a { $day } day stability,安定度が{ $day }日のカード: { $cards }枚
{ $cards } cards with a { $daysStart }~{ $daysEnd } day interval,復習間隔が{ $daysStart }~{ $daysEnd }日のカード: { $cards }枚
{ $cards } cards with a { $daysStart }~{ $daysEnd } day stability,安定度が{ $daysStart }~{ $daysEnd }日のカード: { $cards }枚
{ $cards-per-minute } cards/minute,{ $cards-per-minute }枚 / 分
{ $cards-per-minute } cards/minute,カード { $cards-per-minute } 枚/分
{ $changed } of { $total } notes updated,{ $total } 件中 { $changed } 件のノートを更新しました
{ $correct }/{ $total } correct ({ $percent }%),正答率: { $correct }/{ $total } ({ $percent }%)
{ $count } cards,{ $count }枚のカード
{ $count } cards added.,{ $count }枚のカードを追加しました。
{ $count } cards buried.,{ $count }枚のカードを今日は非表示にしました。
{ $count } cards/day,{ $count }枚 / 日
{ $count } cards deleted.,{ $count }枚のカードを削除しました。
{ $count } cards deleted from { $deck_name }.,デッキ「{ $deck_name }」（カード{ $count }枚）を削除しました
{ $count } cards exported.,{ $count }枚のカードを書き出しました。
{ $count } cards studied in,{ $count }枚のカードを学習しました
{ $count } cards updated.,{ $count }枚のカードを更新しました。
{ $count } decks updated.,{ $count } 個のデッキを更新しました。
{ $count } files moved to the trash.,{ $count }個のファイルをごみ箱に移動しました。
{ $count } files moved to the trash.,{ $count }個のファイルをごみ箱に移動しました。
{ $count } files remaining.,残り{ $count }個のファイル...
{ $count } files remaining.,残り{ $count }個のファイル...
{ $count } groups,{ $count } グループ
({ $count } in subdecks),(サブデッキ内には{ $count })
{ $count } minutes.,（時間枠：{ $count }分）
{ $count } minutes/day,{ $count }分 / 日
{ $count } new notes imported.,{ $count }個のノートを新規ノートとしてインポートしました。
{ $count } notes,{ $count }個のノート
{ $count } notes added,{ $count }個のノートを追加しました。
{ $count } notes already present in your collection.,{ $count }個のノートは同じノートがすでにコレクション内に存在します。
{ $count } notes could not be imported.,{ $count }個のノートはインポートできませんでした。
{ $count } notes deleted.,{ $count }個のノートを削除しました。
